193,15.36,-40.95,5.7
194,15.44,31.66,5.39
195,15.58,22.18,4.81
196,15.63,-29.38,5.73
197,15.64,62.54,4.86
198,15.64,-16.16,5.59
199,15.64,62.54,5.77
200,15.69,58.32,5.91
201,15.7,44.1,4.42
202,15.89,-13.29,2.9
203,15.95,-60.4,5.82
204,16.25,-49.94,5.02
205,16.44,-20.7,5.97
206,16.78,-17.13,5.57
207,17,12.34,4.62
208,17.02,73.78,5.76
209,17.13,31.85,3.9
210,17.21,47.57,5.26
211,17.36,-12.26,5.58
212,17.47,-1.79,4.69
213,17.55,37.18,5.46
214,17.59,48.19,5.13
215,17.6,48.19,4.12
216,17.6,-2.68,5.5
217,17.71,-2.88,5.74
218,17.74,61.82,4.6
219,17.93,29.12,5.73
220,18.03,-61.2,5.88
221,18.06,66.82,5.4
222,18.17,6.98,3.32
223,18.26,16.27,4.54
224,18.27,-78.33,5.59
225,18.4,38.75,5.94
226,18.47,-37.18,4.11
227,18.56,14.46,5.62
228,18.62,-14.13,4.88
229,18.72,-8.26,5.56
230,18.81,63.9,5.91
231,19.05,0.69,5.71
232,19.07,-41.98,5.41
233,19.22,59,5.72
234,19.3,22.93,5.64
235,19.33,-7.75,5.1
236,19.36,27.04,5.51
237,19.59,-38.09,5.7
238,19.65,-14.77,5.85
239,19.65,-36.34,5.86
240,20.01,-35.5,4.15
241,20.06,-14.55,3.93
242,20.07,6.87,4.77
243,20.07,6.87,4.77
244,20.3,6.14,5.85
245,20.44,-10.16,5.94
246,20.5,-64.9,1.23
247,20.6,-63.54,5.99
248,20.66,-20.67,4.88
249,20.71,-52.44,5.43
250,20.72,39.95,5.74
251,20.78,23.78,6
252,20.82,30.87,5.78
253,20.9,-65.33,5.51
254,21.01,33.25,5.63
255,21.06,-0.53,5.76
256,21.2,20.75,4.74
257,21.24,-18.05,5.65
258,21.3,35.77,5.83
259,21.31,-1.4,5.13
260,21.51,-28.31,5.86
261,21.67,79.45,5.73
262,21.82,2.03,4.67
263,21.84,-13.77,4.58
264,21.84,47.75,5.33
265,21.93,-21.67,5.9
266,21.98,-40.01,4.52
267,22.16,40.77,5.64
268,22.34,-7.55,5.52
269,22.4,-65.68,5.55
270,22.41,17.44,5.33
271,22.59,-55.28,5.44
272,22.61,-46.64,5.74
273,22.63,-67.22,5.61
274,22.63,9.24,5.85
275,22.74,21.57,5.91
276,22.85,29.8,5.22
277,22.86,52.36,5.15
278,22.94,10.21,5.45
279,23.08,61.36,4.67
280,23.15,-14.37,5.72
281,23.38,-3.56,5.72
282,23.48,-18.07,5.3
283,23.48,7.82,5.74
284,23.49,18.45,5.42
285,23.55,60.93,5.99
286,23.59,-53.01,5.96
