192,15.44,31.66,5.39
193,15.54,-83.15,5.17
194,15.58,22.18,4.81
195,15.63,-29.38,5.73
196,15.64,-16.16,5.59
197,15.64,62.54,4.86
198,15.69,58.32,5.91
199,15.7,44.1,4.42
200,15.89,-13.29,2.9
201,15.95,-60.4,5.82
202,16.25,-49.94,5.02
203,16.44,-20.7,5.97
204,16.57,-78.9,5.04
205,16.78,-17.13,5.57
206,17,12.34,4.62
207,17.02,73.78,5.76
208,17.13,31.85,3.9
209,17.21,47.57,5.26
210,17.36,-12.26,5.58
211,17.47,-1.79,4.69
212,17.55,37.18,5.46
213,17.59,48.19,5.13
214,17.6,-2.68,5.5
215,17.6,48.19,4.12
216,17.71,-2.88,5.74
217,17.74,61.82,4.6
218,17.93,29.12,5.73
219,18.03,-61.2,5.88
220,18.06,66.82,5.4
221,18.17,6.98,3.32
222,18.26,16.27,4.54
223,18.27,-78.33,5.59
224,18.4,38.75,5.94
225,18.47,-37.18,4.11
226,18.56,14.46,5.62
227,18.62,-14.13,4.88
228,18.72,-8.26,5.56
229,18.81,63.9,5.91
230,19.05,0.69,5.71
231,19.07,-41.98,5.41
232,19.22,59,5.72
233,19.3,22.93,5.64
234,19.33,-7.75,5.1
235,19.36,27.04,5.51
236,19.59,-38.09,5.7
237,19.65,-36.34,5.86
238,19.65,-14.77,5.85
239,20.01,-35.5,4.15
240,20.06,-14.55,3.93
241,20.07,6.87,4.77
242,20.3,6.14,5.85
243,20.44,-10.16,5.94
244,20.5,-64.9,1.23
245,20.6,-63.54,5.99
246,20.66,-20.67,4.88
247,20.71,-52.44,5.43
248,20.72,39.95,5.74
249,20.78,23.78,6
250,20.82,30.87,5.78
251,20.9,-65.33,5.51
252,21.01,33.25,5.63
253,21.06,-0.53,5.76
254,21.2,20.75,4.74
255,21.24,-18.05,5.65
256,21.3,35.77,5.83
257,21.31,-1.4,5.13
258,21.51,-28.31,5.86
259,21.67,79.45,5.73
260,21.82,2.03,4.67
261,21.84,-13.77,4.58
262,21.84,47.75,5.33
263,21.93,-21.67,5.9
264,21.98,-40.01,4.52
265,22.16,40.77,5.64
266,22.34,-7.55,5.52
267,22.4,-65.68,5.55
268,22.41,17.44,5.33
269,22.59,-55.28,5.44
270,22.61,-46.64,5.74
271,22.63,-67.22,5.61
272,22.63,9.24,5.85
273,22.74,21.57,5.91
274,22.85,29.8,5.22
275,22.86,52.36,5.15
276,22.94,10.21,5.45
277,23.08,61.36,4.67
278,23.15,-14.37,5.72
279,23.38,-3.56,5.72
280,23.48,-18.07,5.3
281,23.48,7.82,5.74
282,23.49,18.45,5.42
283,23.55,60.93,5.99
284,23.59,-53.01,5.96
285,23.74,9.59,4.63
286,23.76,-0.17,3.85
287,23.82,-18.4,5.07
288,23.84,-2.1,4.71
289,24.09,46.75,5.98
290,24.15,-13.7,5.71
291,24.17,-4.34,5.84
292,24.35,-10.35,5.5
293,24.38,-34.37,5.91
