0,138,0.01,-85.4,5.55
1,7552,0.03,-28.05,5.33
2,5978,0.03,29.42,4.16
3,5601,0.08,49.79,4.4
4,6147,0.13,21.08,4.29
5,7227,0.17,-18.73,4.99
6,6693,0.36,-3.19,5.16
7,6269,0.37,14.58,5.87
8,8069,0.38,-42.25,5.52
9,6453,0.47,6.55,3.26
10,6424,0.55,7.7,5.11
11,8229,0.56,-47.08,5.29
12,5323,0.78,66.03,5.53
13,6196,0.82,18.43,4.92
14,8180,0.89,-45.64,5.78
15,6746,0.93,-4.54,3.63
16,5690,1.03,45.19,5.87
17,0,1.1,-5.49,5.53
18,6936,1.11,-10.49,5.39
19,6616,1.17,0.21,4.56
20,8151,1.19,-44.95,4.81
21,6048,1.31,27.34,5.24
22,5679,1.32,46.23,5.63
23,6960,1.35,-11.05,5.28
24,57,1.54,-81.18,5.65
25,6742,1.58,-3.98,4.65
26,6692,1.61,-2.37,5.97
27,6140,1.65,22.62,5.67
28,8552,1.71,-58.04,5.47
29,6486,1.71,6.19,4.16
30,8100,1.94,-43.33,5.83
31,6680,2,-1.65,5.79
32,5959,2.01,32,5.53
33,5480,2.05,57.76,4.86
34,5584,2.15,52.07,5.92
35,8411,2.22,-53.67,4.46
36,7987,2.31,-39.76,5.34
37,6519,2.53,5.34,4.8
38,6031,2.55,28.81,4.94
39,6888,2.57,-8.35,5.58
40,7316,2.76,-20.69,5.59
41,7652,2.77,-29.84,4.76
42,5365,2.77,65.08,5.4
43,7629,2.87,-29.15,5.95
44,6766,2.89,-4.02,4.56
45,5710,2.9,45.45,5.38
46,7933,2.92,-38.29,5.48
47,6859,3.01,-7.15,2.7
48,5144,3.08,76.64,5.76
49,8104,3.1,-43.46,5.26
50,5225,3.3,73.05,5.71
51,5772,3.49,41.94,5.51
52,6445,3.6,8.92,4.39
53,5694,3.68,46.46,5.05
54,6907,3.69,-8.47,5.91
55,6472,3.8,8.01,5.83
56,6033,3.93,29.73,5.44
57,8048,4.03,-41.46,5.33
58,5875,4.08,37.18,5.53
59,8046,4.16,-41.35,5.95
60,8379,4.34,-52.47,5.5
61,5881,4.6,37.29,3.55
62,7971,4.68,-39.06,5.51
63,6060,4.7,29.16,5.49
64,6365,4.83,13.37,5.98
65,6842,5.19,-5.29,4.65
66,5895,5.25,37.18,5.1
67,7703,5.26,-30.91,5.32
68,5235,5.31,73.03,2.68
69,8200,5.46,-46.01,5.64
70,7623,5.53,-28.47,4.37
71,5863,5.54,38.99,5.39
72,5746,5.83,44.67,5.16
73,7211,5.88,-16.16,5.5
74,6595,5.94,4.21,4.87
75,6724,5.97,-0.96,5.37
76,6736,6.01,-1.2,5.89
77,6700,6.03,-0.13,4.74
78,8353,6.11,-51.47,3.01
79,7624,6.17,-28.34,5.31
80,8366,6.26,-51.96,5.46
81,6175,6.29,23.59,2.58
82,5675,6.46,49.21,5.34
83,5352,6.61,66.76,5.85
84,6378,6.72,14.01,2.43
85,6129,6.75,26.74,4.64
86,7194,6.85,-15.35,2.61
87,6716,7.17,-0.03,5.76
88,8108,7.23,-43.34,5.96
89,7631,7.29,-28.18,5.65
90,6128,7.44,27.22,5.25
91,6801,7.46,-2.45,4.96
92,5481,7.46,59.86,5.55
93,6913,7.67,-6.52,2.83
94,8767,7.99,-65.72,5.13
95,7039,8,-10.77,3.17
96,6243,8.04,20.92,4.64
97,7507,8.26,-24.79,5.52
98,6016,8.29,33.24,5.39
99,6404,8.39,13.64,6
100,6075,8.57,30.81,3.24
101,6056,8.85,32.2,2.73
102,7380,9.02,-20.21,5.65
103,7360,9.3,-19.67,5.92
104,7234,9.34,-15.37,3.32
105,7659,9.35,-28.55,4.99
106,6816,9.49,-2.02,5.48
107,6961,9.52,-7.1,5.5
108,7121,9.56,-12.43,2.07
109,5370,9.6,66.86,4.84
110,5853,9.7,41.97,5.87
111,7035,9.74,-9.76,5.82
112,7893,9.86,-36.23,5.47
113,7965,9.89,-38.26,4.9
114,6812,10.01,-1.6,3.84
115,5473,10.35,61.1,5.94
116,6822,10.46,-1.74,5.35
117,6562,10.46,8.57,5.94
118,6990,10.48,-7.81,5.78
119,5888,10.54,40.5,5.23
120,6561,10.61,8.66,3.54
121,6446,10.63,13.46,4.34
122,6823,10.76,-1.58,5.98
123,5477,10.81,61.12,3.78
124,8975,10.87,-73.86,5.31
125,6375,11.15,16.99,5.43
126,8230,11.19,-46.99,5.97
127,5057,11.47,81.73,5.76
128,8433,11.54,-54.48,4.97
129,8444,11.58,-54.79,5.38
130,7277,11.59,-15.98,5.77
131,7195,11.6,-13.32,5.63
132,6896,11.74,-3.75,4.86
133,7398,12.01,-19.83,5.49
134,7909,12.14,-36.07,5.76
135,5201,12.24,75.49,4.91
136,8863,12.26,-69.25,4.41
137,7046,12.28,-8.94,5.38
138,6988,12.32,-6.75,5.94
139,8039,12.35,-40.34,4.67
140,7292,12.43,-16.2,4.87
141,6620,12.45,6.93,5.94
142,8076,12.48,-41.42,5.2
143,7128,12.53,-11.29,5.93
144,6681,12.56,4.57,5.93
145,6998,12.73,-6.8,5.86
146,7116,12.75,-10.72,4.85
147,6769,12.75,1.51,5.51
148,6863,12.79,-2.14,5.77
149,8305,12.88,-49.55,4.34
150,6280,12.89,22.52,5.23
151,7120,12.91,-10.89,5
152,8616,13.04,-60.84,5.67
153,8695,13.07,-63.72,4.51
154,5892,13.15,41.66,3.71
155,8135,13.21,-43.8,4.72
156,5149,13.26,77.84,5.63
157,5859,13.27,43.32,5.57
158,6581,13.28,9.17,4.24
159,8431,13.35,-54.46,4.5
